I	F	T
276240	491.95	362
521510	456.76	398
331519	497.92	258
971922	439.45	394
744520	556.05	846
506776	492.51	450
727644	530.52	458
420989	561.29	586
159289	532.78	726
289603	539.9	506
286420	452.91	438
946140	522.73	550
657824	522.78	678
935059	480.67	462
951012	536.83	698
862193	481.56	486
533318	548.76	654
34250	539.02	774
665960	510.42	774
415653	533.15	542
335509	521.47	518
612379	486.75	298
686671	540.05	650
817303	502.94	282
727251	507.78	478
527096	488.89	334
588723	527.26	546
402738	449.4	314
416114	471.28	442
233722	480.88	498
677271	463.93	426
477763	552.16	522
675170	553.67	594
261649	491.97	534
547794	509.13	434
527144	505.03	702
274730	488.85	270
178423	525.95	490
142623	460.86	446
194934	511.34	474
305232	496.21	338
896762	501.69	446
762631	484.58	454
483697	546.96	554
602470	443.19	402
256942	527.38	562
867655	537.98	578
373181	512.65	810
91134	517.09	486
801266	522.1	526
832493	533.1	626
217209	531.8	526
469998	513.32	658
65274	467.73	454
221406	506.66	722
288289	448.83	442
181002	524.28	166
939405	590.83	554
880796	471.97	326
710562	483.59	302
61	520.84	490
416778	546.71	530
720712	467.88	450
224515	542.03	638
29009	456.17	402
976290	485.24	386
612220	484.43	382
786421	523.35	558
382377	527.85	518
824394	498.28	302
523271	546.77	730
498220	524.57	574
709377	515.6	598
653947	484.13	450
933206	532.22	590
725209	484.18	506
63262	520.66	734
801727	492.94	442
372838	534.89	526
384145	516.68	718
31320	518.26	802
50548	532.98	666
305503	518.45	790
428843	492.37	478
939215	493.41	506
284171	492.09	366
212351	517.75	678
123030	490.56	254
126336	552.3	746
745246	493.91	426
640241	534.62	634
929054	483.92	490
283795	519.89	706
3024	498.14	442
402991	483.14	450
482385	523.02	754
127581	467.15	242
869102	490.19	454
841886	519.9	522
701381	525.74	526
966994	506.16	570
640867	521.69	706
890679	532.85	478
492061	504.12	414
420784	521.4	478
651864	466.7	454
100103	526.24	606
932975	508.71	330
984466	484.39	434
596826	495.89	238
342770	524.08	618
946343	490.33	242
749308	534.22	742
429587	513.21	326
443489	519.15	542
735050	494.43	542
216848	499.94	414
93336	490.3	518
909140	492.93	550
906723	497.04	502
378041	544.72	502
427984	513.76	542
506737	523.97	530
228326	510.21	358
397995	526.76	606
365124	535.65	570
474691	547.83	630
317999	503.41	466
342666	508.59	506
696079	511.29	250
362935	502.56	322
236100	529.99	694
879626	482.06	442
43308	550.01	626
276090	493.39	478
800215	479.76	486
737306	477.94	454
2669	483.58	342
387107	523.23	562
324984	529.6	658
485129	513.92	490
790122	524.84	682
853641	502.14	554
824768	477.7	398
82347	544.46	610
551681	521.34	674
336436	530.21	554
160437	488.19	498
889984	488.9	462
715273	534.86	594
163510	543.98	654
244766	486.31	434
538965	504.03	450
505225	492.09	430
417306	534.89	546
555285	488.86	410
769830	557.47	570
127398	478.19	450
110123	516.16	690
554522	530.56	602
971067	559.07	754
877017	536.63	654
792967	499.09	518
128288	517.53	454
424637	537.33	666
39534	541.22	570
677523	519.56	714
409152	523.4	674
908331	475.2	426
766015	516.82	546
567801	531.14	594
349360	515.9	730
689673	487.42	486
931654	481.15	414
589752	489.57	562
838376	534.09	566
82308	542.72	534
201262	525.86	702
88048	539.88	626
832043	507.99	382
947230	453.03	334
153387	497.9	362
680223	562.24	678
867511	507.43	582
643959	532.33	502
189679	515.01	682
437188	454.19	358
897178	506.11	642
554489	553.56	598
719205	517.63	634
20577	502.94	490
714009	498.65	370
260217	470.0	474
379526	513.97	570
119442	518.14	486
718466	533.09	614
772594	514.33	574
880438	554.78	574
312432	513.62	646
712388	454.5	330
46332	480.17	478
973015	456.64	454
72229	483.77	306
977233	511.16	478
221232	453.92	518
